847 9215
219 595 20076
417 40 27489
376 809 25288
714 685 14599
212 787 5438
63 812 10728
203 490 20505
406 834 22149
304 809 5309
310 18 25366
259 87 23791
47 686 31263
328 663 19194
674 557 126
731 201 1884
673 620 10454
631 468 27341
335 58 17814
302 772 2480
623 533 16411
785 704 29268
547 142 16542
804 25 403
101 759 9692
704 645 10667
82 548 15568
481 520 30054
802 507 1996
474 320 1516
129 270 8654
750 601 21466
840 102 13810
220 688 11369
841 575 27719
457 599 18896
262 513 25716
458 718 4648
745 584 11243
72 658 2675
428 265 24740
528 94 29599
100 371 12946
143 268 26004
803 336 1355
445 531 8368
601 555 24743
310 783 18501
581 487 31285
120 484 22759
264 430 15065
667 622 952
678 710 2812
774 225 13298
778 281 13572
764 43 30297
198 352 8472
527 478 21088
334 605 24157
102 175 29481
829 222 11559
400 834 21150
372 306 23261
172 424 860
430 251 2937
738 730 17966
490 593 21999
139 702 24118
742 73 12255
141 205 9000
730 133 23132
366 210 13090
743 437 9395
324 745 28150
687 758 15221
319 536 8723
541 655 10538
175 822 5963
98 34 31618
579 425 32287
746 678 31449
784 357 19044
461 334 23402
774 711 13913
536 206 5766
419 584 10114
123 346 32676
818 260 238
365 143 31792
27 392 9895
743 241 22109
741 471 9346
763 6 16993
386 91 7823
433 835 10986
447 381 31692
287 700 1202
743 486 11249
736 484 4719
430 645 3952
466 795 31134
294 553 29943
678 508 7632
124 563 25116
479 65 15242
637 422 1274
565 574 31960
383 258 19173
266 436 4372
705 845 15490
183 85 32423
414 496 31202
827 428 16540
260 97 4476
527 190 7008
200 472 778
206 170 15120
808 803 7101
816 370 29459
807 2 2890
14 483 10748
533 807 10678
809 652 28136
217 72 29674
743 834 11473
536 224 22905
123 527 27021
383 309 8225
434 123 20852
771 584 29164
729 752 8161
533 562 12534
296 368 5129
104 775 30795
217 141 13025
570 381 21337
177 340 29185
377 183 15843
558 11 2513
612 467 31873
414 556 23649
844 795 25100
838 294 27567
563 459 12424
522 339 5460
27 629 1127
323 635 724
47 158 12100
557 179 17652
72 789 9049
618 522 13803
484 75 9063
551 492 10924
298 724 24064
391 535 31544
740 391 31462
150 85 24623
20 546 2352
148 51 16801
92 56 32482
416 737 30348
550 515 26507
157 800 13086
611 805 2801
629 846 20360
509 490 27160
145 626 19997
603 65 23022
596 37 15848
252 211 18955
219 733 4877
846 624 11068
111 162 24711
7 811 15573
436 263 5921
625 711 6395
847 782 7100
399 754 30573
778 730 15173
680 316 7023
40 187 19690
488 309 3296
52 151 17249
702 207 26028
96 246 5223
259 109 29718
718 178 18892
344 217 1926
127 353 20882
843 194 16614
125 7 19219
780 346 184
25 322 11567
502 23 23645
163 12 17898
131 43 12626
149 717 19973
324 690 18506
393 422 11122
522 696 21351
105 353 5050
652 694 14861
606 507 7085
255 7 27127
382 479 29678
180 52 6304
691 706 10814
770 80 20762
632 813 21909
670 321 10725
469 122 10084
118 479 23406
267 107 1689
464 427 31538
619 419 10553
779 557 10434
451 259 10159
403 23 20761
832 418 20774
427 178 8706
842 472 10873
440 715 10876
494 275 2473
350 247 18021
406 61 15837
361 443 25533
339 12 12086
846 229 29917
512 632 1575
352 213 30909
328 532 21189
163 57 8451
752 181 20900
791 474 22186
328 448 23306
824 836 26229
224 115 4694
468 776 21542
591 428 27829
46 237 5036
603 714 229
145 667 18944
504 840 13568
133 690 32624
53 114 16514
617 173 27528
11 426 26624
679 497 18134
703 401 9557
41 234 26934
586 409 27178
551 692 31609
281 808 9253
26 613 14715
828 12 28964
658 252 15868
761 623 22344
637 829 9189
284 573 10189
676 505 191
554 345 17613
509 804 27257
496 588 8590
393 225 28384
149 539 20968
585 699 11596
418 351 10466
60 14 13172
530 762 3998
555 184 25699
480 782 13603
187 572 7430
524 175 19632
665 678 3021
713 843 5014
831 350 22863
824 517 6348
132 337 24061
489 299 4025
40 3 17719
81 728 9457
442 24 14444
369 837 9932
641 790 3340
729 450 11554
534 478 1647
537 781 4765
684 397 6401
447 129 22351
665 704 20053
128 161 14232
41 83 489
52 272 13184
118 286 15556
192 646 16909
669 828 2612
605 271 18754
287 731 19029
192 95 32451
820 432 22313
255 542 24150
69 135 22381
97 539 15038
244 216 26213
174 381 25240
276 662 23133
469 515 13900
610 286 31635
356 523 11565
707 3 31677
39 64 30549
18 121 621
309 324 30448
836 617 15620
72 612 1763
258 632 8434
594 828 15901
510 586 1388
297 730 26095
440 20 30185
243 682 32574
491 266 12548
408 468 17774
753 635 16277
542 104 28501
247 444 32278
492 452 19867
440 97 26297
821 433 9035
72 432 29883
795 490 134
417 213 10702
586 148 20633
347 816 9403
343 81 989
175 788 25731
292 460 4916
356 734 21929
327 644 24057
502 165 12149
344 196 25789
307 309 1343
830 801 29228
143 791 21551
256 50 12520
480 656 20470
835 461 18504
200 597 20835
347 760 13101
704 128 8169
433 489 27506
786 470 27498
551 126 2477
18 80 15851
636 532 27688
842 141 1274
170 810 10598
789 815 8422
739 725 20881
216 799 15398
366 49 8090
502 823 6006
605 538 1539
588 616 1946
747 225 19580
123 159 10181
755 546 2778
633 558 20502
578 310 796
763 429 16809
82 211 32631
37 302 16939
522 31 14996
119 89 7931
593 645 18325
160 831 21556
777 694 15476
185 208 28217
181 202 23763
603 282 15512
506 387 31850
640 16 9055
223 597 6014
789 326 21566
585 680 1333
756 713 2817
311 52 4142
616 57 24822
450 613 2056
430 322 1186
719 811 13061
390 739 9583
823 607 25506
754 674 20008
239 154 1568
686 348 27117
417 847 4211
359 574 16126
446 637 27049
641 371 31464
286 821 22446
231 773 24399
621 362 18492
415 358 28423
573 424 8683
514 143 12621
328 510 4493
67 262 32295
291 409 27611
135 489 17857
124 634 32062
376 799 5102
37 258 8861
616 384 31099
771 261 32351
770 482 30478
437 422 28454
727 665 5617
811 594 15096
317 433 13660
445 60 23755
24 189 4894
129 587 23472
328 194 19629
85 87 23057
361 128 4613
465 393 28861
757 783 5613
227 107 15545
670 330 32615
527 519 6158
538 646 20096
300 82 5387
337 839 23232
163 753 20663
221 535 23517
238 9 23650
614 360 23943
62 154 10140
707 462 9575
534 41 19192
199 206 32421
497 547 10592
193 684 8334
378 548 24818
472 218 3637
372 606 17808
813 720 27430
745 616 28334
287 160 25981
226 22 3851
348 687 4102
171 230 10315
665 303 26413
328 217 1460
717 643 20964
339 195 4218
226 123 19414
737 695 21851
472 689 6255
456 283 18051
526 424 30380
519 164 13799
191 223 23470
219 444 922
94 142 20096
488 461 22728
766 570 10648
727 302 21346
614 175 22263
583 495 3996
125 399 8691
444 158 21442
175 624 1551
474 681 6175
45 200 1137
381 693 2023
757 835 4564
242 5 14680
266 375 11528
469 519 2713
306 103 12894
823 53 7681
368 431 6801
336 362 11202
335 491 5134
478 730 6198
203 806 23460
544 579 17723
675 154 30216
475 737 14945
93 272 32178
719 529 21209
230 532 12531
481 291 29028
423 351 23139
782 651 6583
49 502 8687
283 254 3080
767 667 24369
36 445 27333
660 543 13783
509 823 23461
214 231 11076
49 56 19600
312 530 4280
554 507 23058
751 603 8080
626 76 6227
253 183 3472
88 192 207
459 507 15661
108 74 22078
341 728 4683
15 148 15728
720 293 28150
728 45 25862
122 576 29690
174 388 12109
357 430 4964
205 464 14509
321 167 26453
6 298 6759
662 601 30636
185 122 15506
383 671 14707
227 466 15260
519 11 32022
244 600 9403
156 159 19655
307 558 27150
551 711 10143
804 262 14945
239 473 5725
519 61 12751
529 726 23762
289 265 28604
705 761 5974
361 162 21457
505 24 30179
38 193 18192
475 244 3745
783 840 22286
64 291 12
704 564 22775
111 294 24315
113 800 5875
547 580 18220
540 500 1520
456 446 25897
229 735 31505
147 718 1693
1 363 7976
478 674 14963
580 775 17413
10 575 23637
73 508 23741
819 412 8994
417 638 12410
484 235 11537
366 700 7841
833 210 28082
827 247 22058
373 627 32443
359 211 16500
678 410 26969
103 26 14380
132 292 9207
170 444 8126
447 157 10607
292 615 9745
615 271 30928
202 649 32454
789 475 21567
91 318 3886
41 656 15008
592 222 9135
222 312 11020
739 107 14680
590 142 4665
294 139 21967
846 265 8546
97 189 23520
91 609 2900
704 828 21842
319 515 4002
631 127 23249
782 321 9529
332 103 10511
221 560 19656
672 57 7784
5 632 26799
201 588 24234
523 570 15230
704 3 17108
487 373 12070
649 612 6378
824 333 5734
254 460 7214
695 11 1826
393 662 2140
183 828 1955
303 176 19131
609 218 25066
573 210 10792
752 786 22440
223 65 23392
363 709 30322
629 446 26930
277 621 16197
787 98 12389
734 332 1413
683 331 32116
576 403 10478
664 586 11886
648 142 27445
660 323 9626
804 730 27981
480 771 27061
752 280 10631
731 89 5854
359 449 22283
176 761 20364
751 332 22618
534 489 16166
177 750 31194
551 726 2067
773 14 9880
665 307 13659
8 227 10438
777 734 3125
184 558 22688
353 251 29707
338 171 6076
320 824 11240
248 505 28658
502 302 14914
245 389 29787
605 610 164
825 733 26652
215 548 11941
528 701 505
846 490 2083
626 746 13539
323 586 8399
191 140 1272
557 760 25435
65 23 28085
164 744 1263
1 668 2379
807 327 30137
595 542 21070
353 688 1442
239 6 20547
100 783 24734
161 839 5289
277 820 18445
148 504 29086
75 453 5918
739 248 5161
674 733 15935
194 718 31697
721 321 1527
631 40 30216
497 430 9157
421 417 8084
660 461 3023
622 316 18175
549 208 141
553 836 12974
455 825 15794
121 583 4662
440 601 19967
815 512 5634
162 807 13259
460 443 6509
827 792 6745
262 7 19162
603 470 23136
225 754 6763
174 663 17995
269 835 17266
647 114 787
471 424 19879
496 769 14546
570 712 15047
300 729 12886
251 409 2613
478 93 9561
294 846 8097
18 143 25903
738 241 15090
561 284 16397
292 546 24286
200 379 19245
701 192 4338
17 244 31872
611 296 6401
399 174 12458
382 109 7977
261 609 12929
119 465 3834
53 781 5442
147 619 19289
351 94 17721
436 747 21046
394 534 10899
801 126 16443
38 70 10377
258 130 1001
415 44 14134
814 436 19696
658 396 24739
618 460 12187
814 90 6652
542 466 23977
705 340 22503
436 307 3313
316 349 26989
466 28 31124
403 258 9984
781 137 13500
150 451 27517
327 172 29194
683 184 11069
65 691 5447
20 139 24976
834 31 12023
241 117 1844
492 434 12764
499 216 25776
137 30 17545
238 837 27029
623 336 31127
107 536 19980
812 759 15899
16 846 13899
419 291 16750
267 382 26548
198 81 19043
823 636 28120
557 279 11648
616 163 24979
431 746 13531
387 258 28401
146 87 5534
404 275 18093
487 314 22636
91 597 28248
621 626 12567
649 62 28313
647 24 30561
342 458 16634
378 326 5575
695 665 10048
543 169 9353
697 570 21577
774 564 22114
41 834 4822
592 509 10670
188 572 28890
268 182 19452
99 323 30233
547 19 5942
433 300 9025
580 253 22236
113 504 29385
90 845 26903
211 753 26412
137 456 8834
392 228 27239
112 178 27903
797 812 28862
706 670 14582
36 66 1329
819 165 21956
2 85 12333
744 198 29010
347 382 6492
834 571 10249
827 220 27550
284 293 1426
320 274 28307
28 283 27697
763 416 2880
490 710 23450
107 404 6576
411 739 20872
732 491 29607
831 18 19848
21 660 27833
780 174 11951
163 705 2666
764 520 32059
224 822 14109
46 283 2888
369 338 16638
2 783 32547
314 288 21039
535 326 7906
512 571 16853
113 217 26698
721 544 13794
625 498 28967
58 642 7090
579 846 2978
790 247 4550
364 168 1859
5 241 1870
423 262 29329
597 774 9795
467 416 19095
103 190 9009
817 385 23738
792 318 23059
192 666 5278
32 491 16841
494 471 21261
367 726 18437
170 380 3102
535 136 9679
142 829 6672
780 610 16624
749 572 16275
597 509 18651
565 304 3951
76 363 32244
509 296 10455
37 409 2116
339 126 16066
534 643 32503
752 536 1558
354 788 21565
379 391 14749
764 435 20831
706 445 13297
811 508 15661
60 528 32477
77 602 15116
279 411 29937
542 83 31565
621 798 32049
769 712 1432
545 251 21038
711 83 19592
341 462 31974
567 675 26066
475 10 319
84 772 17550
440 372 31991
259 743 15223
112 242 31587
586 32 27450
585 399 20308
129 649 9522
505 631 12784
191 609 17701
255 287 113
213 777 9430
156 593 3068
478 260 8842
249 313 22034
812 83 20442
538 407 6474
251 252 20573
104 837 29013
536 183 18452
221 163 9847
700 238 1958
265 725 24575
75 536 30906
425 474 7781
246 608 14114
536 834 10507
36 314 21397
583 693 25830
512 402 795
326 262 8304
325 753 2694
286 198 5804
538 555 6023
100 264 3633
185 213 318
210 315 23152
724 469 10335
712 274 29867
380 733 29497
613 266 12129
312 785 15426
188 844 537
748 524 2555
64 181 25806
343 829 7497
411 745 31083
189 22 24462
826 224 10007
839 399 3116
507 505 7752
244 348 10555
732 813 19920
8 266 4501
838 402 28768
322 288 1671
742 656 22327
412 375 2500
253 79 16887
350 31 12401
149 565 15576
641 242 18020
345 227 30126
58 264 1257
121 447 3454
825 563 25259
711 682 28564
684 814 10898
275 121 30812
619 67 9655
253 169 1388
836 589 18620
599 744 13691
280 17 3879
761 539 31295
24 349 3996
249 770 30566
710 220 27129
405 421 20773
197 746 3277
350 409 21012
127 392 419
835 452 847
232 705 2059
777 62 17173
388 786 21876
112 657 25944
254 185 25645
560 18 18176
344 218 26155
157 456 18381
415 640 16483
239 232 10267
160 737 31192
566 185 7929
509 385 21938
290 163 29260
71 722 29171
691 405 15861
211 685 19628
381 822 14399
727 11 4026
641 28 28912
749 827 1907
812 84 5592
439 675 17103
709 631 699
229 745 7151
144 318 7131
54 584 24081
405 790 31127
784 618 31310
145 464 4313
533 340 20153
423 248 5954
186 247 31676
325 560 13149
253 322 12729
135 490 26686
847 11 21859
133 354 26967
844 704 25425
727 335 28260
503 126 11173
732 9 2247
293 186 25842
58 85 12969
359 586 16792
13 318 9646
602 695 13654
773 55 18991
267 468 194
74 627 4401
13 402 30431
784 499 6799
649 405 21782
829 146 30223
411 149 48
452 306 26980
616 576 6445
661 598 15941
73 127 13065
68 356 794
425 2 3784
106 27 11774
420 618 13672
287 457 1272
513 469 8070
772 623 24512
761 549 26844
375 242 5740
806 700 25057
56 520 3540
406 760 15403
415 297 7573
545 719 7790
187 374 21749
457 621 13095
441 109 15126
676 163 20821
494 381 23612
470 192 16589
32 457 6425
482 336 25614
641 497 3659
82 250 20383
815 135 22944
698 540 7005
785 176 20408
629 327 5186
232 379 12307
48 410 30095
224 706 10049
779 755 2883
393 30 23013
296 207 24920
673 603 25687
301 635 31230
72 170 6632
534 758 32341
734 99 32543
64 151 13084
312 323 27788
680 53 15926
521 472 20404
619 230 28985
344 214 18678
811 542 5820
534 759 29682
12 295 13975
205 355 20896
423 278 7823
129 671 19535
388 49 25482
462 426 6086
617 395 20132
253 22 29297
299 521 31101
377 265 2048
358 139 28780
805 610 28670
278 390 3232
117 563 9035
643 418 4441
352 126 22908
505 768 16052
411 636 7052
446 626 20938
329 322 2922
17 581 7441
471 33 30789
619 606 21816
307 623 26015
702 750 11771
125 184 32424
336 196 19148
826 794 5798
173 231 19058
654 721 32548
208 597 28512
405 81 3327
15 93 7436
481 122 4495
120 117 16884
200 564 21057
10 641 11491
724 583 30404
766 518 31866
739 342 15751
31 317 24740
607 714 14713
454 678 15806
711 168 3399
612 594 3984
304 370 22413
776 121 15982
295 347 8378
88 706 796
259 85 26256
725 277 1612
119 270 10891
527 13 11978
355 142 32659
834 302 7601
606 792 18627
796 562 14918
72 110 32305
559 741 30533
268 167 11764
101 536 14788
703 762 24285
77 216 3580
604 362 18340
509 525 12440
798 780 18542
162 757 29523
285 59 3580
507 764 14870
10 704 3303
259 600 18892
428 589 26800
25 221 29867
94 662 11659
620 351 26535
397 646 21809
407 705 2876
289 78 11808
65 367 7649
709 501 14865
637 726 30910
374 153 17283
206 289 24434
245 41 5045
208 184 25110
246 122 10604
126 176 17601
119 298 26177
138 608 8754
498 285 11138
70 663 10091
415 128 8384
405 684 25703
787 72 11681
224 71 21045
680 807 23955
124 815 26893
647 135 16234
49 227 333
210 653 11292
2 669 20569
307 822 1804
227 717 11976
741 374 20394
343 494 1914
96 549 3921
537 55 26456
280 492 8102
400 800 13302
657 344 17643
400 274 9037
16 231 29950
111 169 14661
687 266 12031
138 424 24526
380 780 20689
783 465 13486
303 202 12018
790 123 29784
749 626 10332
798 671 2913
516 788 21363
585 703 24694
77 287 548
570 330 26326
230 111 2760
572 40 3521
34 737 20581
138 426 15204
627 696 16477
96 826 16922
153 178 13497
712 78 13605
789 249 12681
230 825 15911
604 184 6412
421 513 9992
643 348 1442
84 7 17419
493 270 18878
840 683 22582
500 44 30020
144 637 617
329 90 32026
350 299 19370
357 361 3293
715 473 8090
40 135 29686
494 432 24075
24 472 22141
482 97 24876
134 83 8107
207 843 21964
176 371 30427
621 290 11166
658 419 31032
494 269 16775
378 237 2474
95 619 22106
50 192 30128
364 778 16533
474 145 18717
279 153 4083
29 546 17388
24 435 4593
379 750 19639
837 289 20127
76 378 16238
771 236 1358
58 814 27480
336 489 2294
586 658 17554
482 761 10870
297 504 3204
311 809 13036
80 453 20988
517 471 23268
544 313 29941
264 27 15116
702 100 9021
590 5 31141
32 670 23140
463 36 1015
492 235 12487
794 419 1387
362 582 19091
528 824 5659
754 727 16658
279 790 22770
49 622 12702
523 387 1463
498 516 30479
792 539 13719
543 815 2947
181 55 18702
650 499 2508
508 716 29750
73 565 3310
294 785 31466
91 660 4456
336 253 30787
407 845 20297
123 102 17747
476 589 5434
774 622 16683
592 105 19459
174 234 28816
4 826 18236
530 621 13804
802 413 13087
154 381 21086
767 610 6333
562 293 1779
482 443 26880
411 496 6511
360 616 5190
609 122 16949
617 576 14195
318 647 12581
706 252 10444
494 513 30096
349 399 32253
312 182 14736
270 118 21015
160 383 31587
381 108 28006
369 430 20388
21 53 19058
751 720 19819
828 436 6790
662 323 8638
811 605 12691
512 43 31200
672 124 29774
319 315 3161
81 539 21708
509 724 5840
564 476 26905
281 615 15116
65 800 1139
805 471 20410
670 573 18227
786 619 2503
701 388 8846
268 416 26990
113 679 9385
536 698 8782
46 580 22210
424 144 22563
788 775 23123
718 704 4597
588 373 4989
433 359 17369
490 356 24096
143 35 21404
31 140 22626
771 721 5872
103 181 2208
807 78 2541
697 554 24052
606 322 29449
12 67 4566
780 126 26069
680 297 5766
66 247 10269
718 441 20799
345 69 30016
216 617 12386
112 176 2523
252 669 3357
813 45 22040
782 207 1336
185 588 16197
573 62 25865
470 685 2431
386 279 8904
402 103 26765
800 267 9143
50 694 25418
729 304 22738
72 197 14124
761 158 1035
640 790 20929
263 194 30782
172 691 21572
224 298 13660
546 330 31125
208 484 12167
23 55 12599
762 485 11015
431 136 25122
787 387 12396
76 269 7816
88 820 824
814 822 11750
226 486 2778
166 128 17649
449 405 4339
79 646 6976
583 830 26899
689 649 23748
287 708 21864
688 302 18796
739 448 6435
817 746 16262
179 256 29816
831 2 32190
337 179 3972
63 274 12233
827 449 28802
338 572 25885
809 104 20239
679 789 29513
723 83 14707
610 761 3523
436 362 25125
521 523 6986
797 468 23308
519 326 5426
403 659 20766
838 9 5936
272 141 22133
115 11 18041
671 114 16882
267 485 27999
193 529 29442
246 5 9384
801 472 11557
199 112 13908
73 519 4676
117 796 7569
404 504 21496
478 454 13828
519 794 21330
150 401 24768
559 836 25548
787 184 12148
520 779 4441
510 603 5820
802 467 29401
565 176 20121
450 468 2402
675 779 29822
669 435 16912
739 571 17521
635 679 13154
764 276 26417
172 840 28749
166 319 29026
662 230 6791
707 432 21547
773 630 2752
174 246 14802
26 649 16576
287 336 10540
731 460 9885
105 656 24838
325 329 22925
734 70 14549
125 274 28673
573 675 1599
415 274 26632
665 133 8043
280 291 23079
92 202 8211
808 775 3123
191 504 11212
304 294 23756
635 154 4616
757 290 2948
348 557 2225
654 838 27359
247 778 14454
520 226 24750
285 51 8741
187 564 3693
36 152 1693
761 584 24241
265 64 837
280 112 21963
586 836 4869
241 712 13092
172 301 10297
759 554 32260
141 482 11797
27 320 21441
190 642 113
604 671 1669
468 227 24311
492 365 9008
132 648 7460
232 48 6662
764 70 25258
332 527 22808
158 23 18438
329 692 30906
82 846 2408
232 359 31075
536 813 32328
646 209 20410
761 528 3641
38 674 26321
793 226 3029
507 303 10671
196 267 17624
256 698 23743
200 22 17098
695 795 25791
225 390 16385
284 739 4394
121 328 31795
215 100 5903
630 739 28554
783 566 15978
682 407 24020
191 699 30503
483 496 20642
478 588 7673
159 263 29835
107 842 9426
97 598 32158
167 499 13710
293 722 21235
193 79 12231
518 789 27298
278 89 2253
737 110 13958
463 492 303
506 591 6034
14 412 25956
718 701 20650
97 730 14182
385 465 13113
414 450 15720
350 779 3835
314 403 5616
243 228 7095
231 487 11249
86 502 28378
139 210 17854
554 480 26671
730 207 32755
142 312 10293
228 296 24993
826 259 26545
813 725 26975
722 699 15256
292 69 2830
331 726 16741
635 381 9338
772 634 12148
36 223 788
608 66 8697
237 619 16252
88 315 2222
400 500 922
56 475 8780
156 377 22123
14 721 19050
750 357 21724
184 296 21339
647 742 24889
181 796 2328
32 501 23335
228 575 7019
637 377 28701
783 587 23744
529 86 6355
107 814 20599
103 713 29230
258 159 16010
660 453 24705
838 642 15323
801 662 25157
200 101 7568
557 436 13206
611 528 29505
292 823 30227
133 716 14055
732 95 2295
372 615 13004
775 292 11136
671 364 31979
515 289 30725
167 666 9347
721 204 20551
622 247 6602
232 675 987
425 740 16639
95 696 24526
210 350 22867
373 491 710
644 144 13656
274 236 21322
681 75 1535
755 201 24069
614 673 31308
446 372 16403
332 171 1343
239 372 9666
396 526 2224
709 484 24645
539 199 16136
55 400 13647
109 247 22300
374 690 24983
330 613 7324
129 466 25508
312 476 3281
526 817 5759
363 634 10907
631 742 31768
790 838 5614
183 149 25989
73 517 10825
282 713 31583
67 231 1235
517 301 4839
829 393 7712
340 192 19652
558 506 27860
814 119 16494
254 112 7576
274 567 935
133 273 8737
159 730 16271
823 616 31797
658 118 19768
404 698 2804
738 408 4549
90 763 4050
275 367 5748
297 387 28157
28 107 13101
174 679 8748
448 735 8800
292 578 27146
376 114 2914
99 405 22961
791 103 3205
67 654 762
193 718 8346
672 460 9610
193 81 29611
338 329 28643
42 121 26881
103 585 30950
621 353 18649
775 491 5761
655 846 22101
211 779 24968
668 614 32396
289 820 24546
590 549 30658
831 236 17810
448 297 5173
311 482 21071
47 141 19967
735 148 21651
597 288 14840
521 751 7292
124 269 11689
317 179 14656
380 517 15114
821 57 12044
576 789 29201
165 437 12573
244 847 12678
222 126 13478
162 437 6975
167 700 28056
745 770 23703
372 311 16517
2 289 19203
460 173 20937
693 743 22650
411 110 27943
667 537 15717
820 82 916
386 56 31002
242 294 25849
134 77 19219
736 151 14849
760 476 22103
141 432 9814
313 690 3538
498 796 30170
593 58 9109
441 785 22464
619 457 20010
570 238 139
809 319 7816
39 368 10336
293 347 9804
768 396 19765
707 354 8509
691 63 30907
607 256 1606
498 624 6163
2 708 9068
260 214 18358
127 419 1386
767 575 24594
758 254 14076
826 50 8140
740 6 11515
465 845 5802
142 551 19415
346 167 141
311 787 10266
222 236 12401
446 373 17368
380 89 12866
18 416 2918
743 8 6765
838 82 25833
376 328 21427
787 668 18369
631 828 28029
58 602 7635
823 599 10032
221 88 20559
112 520 47
446 127 4655
663 377 28797
148 672 15703
223 39 30529
199 388 7522
847 337 926
816 336 20342
706 803 12690
532 537 189
26 88 14307
102 776 23895
832 153 1350
1 199 32728
441 261 14900
616 381 13748
571 403 14904
112 234 1835
321 535 19097
603 210 12684
598 40 28068
90 377 14573
668 110 12556
282 484 29349
230 385 19220
175 806 31793
668 347 30082
575 35 2629
220 519 18058
363 560 27197
504 264 10038
391 184 1068
755 788 17391
98 449 13869
535 702 16184
517 106 4564
845 796 22460
12 782 27336
452 650 27190
150 436 20971
41 169 3302
3 438 6817
117 643 17801
201 577 28688
570 272 23566
465 677 24178
582 155 23426
7 405 6349
182 836 16360
642 434 15796
18 472 27382
198 62 32213
736 572 4844
268 563 23938
688 812 17927
38 127 26239
394 539 8763
402 545 4527
503 439 21556
43 253 2177
832 189 32156
629 290 7376
155 84 26835
778 139 22650
284 199 14556
540 539 21813
149 189 22675
48 275 15568
342 92 32407
4 491 13396
536 556 26597
494 231 25119
458 422 10572
152 541 22304
687 128 2257
787 453 3494
35 614 11358
528 339 30073
345 805 7509
558 100 14399
796 471 14545
337 217 21079
617 633 12998
367 163 7084
548 805 26179
728 342 14647
194 585 22383
782 717 31522
412 41 7212
709 799 13514
637 788 26211
479 292 29462
139 580 14169
688 453 27356
58 577 26021
438 754 21568
337 833 31966
419 183 7188
784 788 12830
628 208 18966
30 506 31055
300 264 146
359 243 11469
212 497 7104
144 92 32614
301 41 8931
808 324 30264
371 72 26673
466 772 8245
66 794 1099
342 425 28808
623 640 8300
207 194 14411
803 347 3745
522 637 29000
410 203 4510
59 421 11973
758 65 32271
211 746 27272
458 581 7545
770 587 21397
403 12 32519
692 96 4432
490 190 15571
217 276 26896
568 570 15496
584 482 11591
31 225 10366
14 819 9406
830 431 23186
698 764 32163
472 93 17513
471 272 13149
535 160 6375
688 308 24403
746 198 10487
635 114 3126
744 114 6659
412 771 8299
551 516 26271
185 211 8099
42 19 2652
278 589 11471
457 200 24516
593 257 11488
751 376 9182
605 317 35
389 409 21718
835 796 19218
771 605 18849
56 323 2289
760 638 32425
630 708 29077
291 492 14316
581 711 26907
484 251 21268
508 775 2953
231 508 1134
233 346 16259
593 116 20429
354 100 25246
319 403 27323
471 297 26361
811 151 26500
244 136 27935
831 321 8452
197 90 22116
234 547 27965
340 285 19260
280 358 12570
129 256 3636
648 745 6642
586 482 3027
739 282 26601
613 42 30989
242 459 14931
830 208 20155
701 309 4693
258 447 27848
438 293 9920
494 49 13373
650 808 23227
130 491 17993
10 710 4027
300 699 10550
485 562 25796
539 236 17167
840 8 14120
388 10 26648
671 801 30779
576 687 3956
466 617 2225
529 727 10886
588 673 5539
721 221 11245
605 641 15474
650 339 4403
117 604 20988
631 490 20097
183 538 24291
60 503 24059
142 362 1489
446 332 31882
643 645 27141
191 736 23618
469 188 7046
107 265 22699
345 618 23503
96 538 5004
161 470 2271
192 24 24849
114 379 30170
13 687 8285
476 836 16338
473 230 6637
604 79 4684
732 824 20307
173 734 8849
202 272 24625
572 798 14849
715 576 22145
88 274 18130
543 17 24713
178 242 26624
800 70 18701
350 429 5218
701 373 28316
303 161 9756
561 203 8460
677 100 2793
120 17 14467
679 150 28393
184 270 31645
247 682 15102
339 506 4745
361 646 225
544 37 25411
229 541 15981
799 717 22309
161 369 3798
282 44 17543
653 761 15303
577 220 5940
110 120 31130
51 513 26830
636 560 16682
175 807 5755
750 33 32493
430 521 4983
143 269 594
462 81 20572
71 18 2470
171 154 7480
21 537 17888
101 569 214
717 731 3877
265 784 10682
253 134 3562
787 352 28098
364 482 9720
196 836 21362
20 674 18370
297 296 27723
193 633 16843
732 827 27073
117 549 3850
234 730 24238
734 286 16532
66 279 7503
732 143 7707
443 462 13452
424 15 24751
376 436 21687
367 558 7668
540 831 36
698 750 21737
376 358 27423
735 302 28190
181 89 6374
489 737 20019
611 89 18704
263 242 7933
208 93 3137
154 827 3781
253 214 29169
743 107 10012
29 196 25650
323 794 9513
492 483 10165
584 152 31631
493 129 25994
61 793 27186
714 256 28995
469 142 29322
659 215 31105
305 678 28478
267 465 18978
210 731 19520
395 358 3707
464 485 22700
840 253 26472
505 336 32257
535 846 31769
572 147 24735
477 743 15844
266 111 7054
557 392 13955
121 179 32243
302 483 13705
283 623 31423
537 524 23796
391 369 27519
746 590 13853
587 835 27992
51 483 28549
519 137 2957
448 523 31011
221 111 11559
305 795 14398
834 610 25494
786 230 19717
767 790 22113
133 772 13145
59 630 11330
299 465 13701
612 326 3134
791 658 729
747 265 12703
173 545 5477
590 600 9171
66 26 14667
20 257 32671
327 810 19797
732 84 28974
644 388 2010
422 457 5847
404 736 31772
582 480 4791
118 804 7064
478 185 9590
659 173 19466
576 248 22214
174 361 13835
304 701 131
102 822 31132
733 205 6015
763 241 19702
6 603 22874
286 619 32624
437 178 10486
535 56 15721
